item,item_ine_id,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
La Victoria,14065,AND0055,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/victoria/?utm_campaign=cerca-v1,FALSE,
Los Blázquez,14011,AND0056,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/blazquez/?utm_campaign=cerca-v1,FALSE,
Lucena,14038,AND0057,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/lucena/?utm_campaign=cerca-v1,FALSE,
Málaga,29067,AND0058,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/malaga/?utm_campaign=cerca-v1,FALSE,
Marbella,29069,AND0059,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/marbella/?utm_campaign=cerca-v1,FALSE,
Media Principal,,AND0060,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,TRUE,,TRUE,https://www.diariocordoba.com/municipios.html
Media Principal,,AND0061,14/07/2025,Andalucía,AND,FALSE,elcorreodeandalucia,El Correo de Andalucía,FALSE,,FALSE,
Media Principal,,AND0062,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,,TRUE,https://www.laopiniondemalaga.es/municipios.html
Mijas,29070,AND0063,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/mijas/?utm_campaign=cerca-v1,FALSE,
Montemayor,14041,AND0064,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/montemayor/?utm_campaign=cerca-v1,FALSE,
Montilla,14042,AND0065,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/montilla/?utm_campaign=cerca-v1,FALSE,
Montoro,14043,AND0066,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/montoro/?utm_campaign=cerca-v1,FALSE,
Monturque,14044,AND0067,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/monturque/?utm_campaign=cerca-v1,FALSE,
Nerja,29075,AND0068,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/axarquia/nerja/?utm_campaign=cerca-v1,FALSE,
Nororma,34_01_29_06,AND0069,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,FALSE,https://www.laopiniondemalaga.es/malaga/comarca-nororma/?utm_campaign=cerca-v1,FALSE,
Nueva Carteya,14046,AND0070,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/nueva-carteya/?utm_campaign=cerca-v1,FALSE,
Obejo,14047,AND0071,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/obejo/?utm_campaign=cerca-v1,FALSE,
Palenciana,14048,AND0072,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/palenciana/?utm_campaign=cerca-v1,FALSE,
Palma del Río,14049,AND0073,14/07/2025,Andalucía,AND,TRUE,diariocordoba,Diario Córdoba,TRUE,https://www.diariocordoba.com/cordoba/palma-rio/?utm_campaign=cerca-v1,FALSE,
Pedroche,14051,AND0074,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/pedroche/?utm_campaign=cerca-v1,FALSE,
Peñarroya-Pueblonuevo,14052,AND0075,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/penarroya-pueblonuevo/?utm_campaign=cerca-v1,FALSE,
Posadas,14053,AND0076,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/posadas/?utm_campaign=cerca-v1,FALSE,
