item,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
Alcorisa,AR0005,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/alcorisa/,FALSE,
Andorra,AR0006,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/andorra/,FALSE,
Barbastro,AR0007,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/barbastro/,FALSE,
Binéfar,AR0008,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/binefar/,FALSE,
Cadrete,AR0009,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/cadrete/,FALSE,
Calamocha,AR0010,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/calamocha/,FALSE,
Calatayud,AR0011,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/calatayud/,FALSE,
Campo de Belchite,AR0012,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/zaragoza/campo-de-belchite/,FALSE,
Campo de Borja,AR0013,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/campo-de-borja/,FALSE,
Campo de Cariñena,AR0014,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/campo-de-carinena/,FALSE,
Canfranc,AR0015,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/canfranc/,FALSE,
Caspe,AR0016,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/caspe/,FALSE,
Cella,AR0017,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/cella/,FALSE,
Cuarte de Huerva,AR0018,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/cuarte-de-huerva/,FALSE,
Cuencas Mineras,AR0019,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/cuencas-mineras/,FALSE,
Daroca,AR0020,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/daroca/,FALSE,
Ejea y sus Pueblos,AR0021,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/ejea-pueblos/,FALSE,
Épila,AR0022,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/epila/,FALSE,
Figueruelas,AR0023,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/figueruelas/,FALSE,
Fraga,AR0024,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/fraga/,FALSE,
Fuendetodos,AR0025,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/fuendetodos/,FALSE,
Gallur,AR0026,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/gallur/,FALSE,
Híjar,AR0027,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/hijar/,FALSE,
Huesca,AR0028,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/huesca/,FALSE,
Jaca,AR0029,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/jaca/,FALSE,
La Muela,AR0030,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/la-muela/,FALSE,
María de Huerva,AR0031,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/maria-de-huerva/,FALSE,
Media Principal,AR0032,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,,TRUE,https://www.elperiodicodearagon.com/municipios.html
Monzón,AR0033,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/monzon/,FALSE,
Ribera Alta del Ebro,AR0034,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/zaragoza/ribera-alta-del-ebro/,FALSE,
Sallent de Gállego,AR0036,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/sallent-de-gallego/,FALSE,
San Mateo,AR0037,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/san-mateo/,FALSE,
Sariñena,AR0038,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/sarinena/,FALSE,
Tamarite,AR0039,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/tamarite/,FALSE,
Tarazona,AR0040,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/tarazona/,FALSE,
Tauste,AR0041,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/tauste/,FALSE,
Teruel,AR0042,23/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/teruel/,FALSE,
Utebo,AR0043,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/utebo/,FALSE,
Utrillas,AR0044,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/utrillas/,FALSE,
Valdejalón,AR0045,14/07/2025,Aragón,AR,TRUE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/zaragoza/valdejalon/,FALSE,
Villanueva de Sigena,AR0046,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,FALSE,https://www.elperiodicodearagon.com/aragon/villanueva-de-sigena/,FALSE,
Zaragoza,AR0047,23/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/zaragoza/,FALSE,
Zuera,AR0048,14/07/2025,Aragón,AR,FALSE,elperiodicodearagon,El Periódico de Aragón,TRUE,https://www.elperiodicodearagon.com/aragon/zuera/,FALSE,
Allande,AST0001,14/07/2025,Asturias,AST,FALSE,lanuevaespana,La Nueva España,FALSE,https://www.lne.es/occidente/allande/,FALSE,
Aller,AST0002,14/07/2025,Asturias,AST,FALSE,lanuevaespana,La Nueva España,FALSE,https://www.lne.es/cuencas/aller/,FALSE,
Amieva,AST0003,14/07/2025,Asturias,AST,FALSE,lanuevaespana,La Nueva España,FALSE,https://www.lne.es/oriente/amieva/,FALSE,
Avilés,AST0004,14/07/2025,Asturias,AST,FALSE,lanuevaespana,La Nueva España,TRUE,https://www.lne.es/aviles/,FALSE,
Belmonte de Miranda,AST0005,14/07/2025,Asturias,AST,FALSE,lanuevaespana,La Nueva España,FALSE,https://www.lne.es/occidente/belmonte-de-miranda/,FALSE,
Bimenes,AST0006,14/07/2025,Asturias,AST,FALSE,lanuevaespana,La Nueva España,FALSE,https://www.lne.es/centro/bimenes/,FALSE,
